Player,Club,Age,Position,Minutes,Goals,xG,xGDiff,Assists,xA,xADiff,Dribbles,DribblesCompleted,PlayersDribbledPast,Nutmegs,Interceptions,TacklesWon,DribbledPast
Dentinho,Shakhtar Donetsk,30,FW,17,0,0,0,0,0,0,0,0,0,0,0,0,1
Dieumerci Ndongala,Genk,28,"FW,MF",118,0,0.1,-0.1,2,0,2,5,0,0,1,0,1,1
Dion Cools,Club Brugge,23,DF,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri Zhivoglyadov,Lokomotiv Moscow,25,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Livaković,Dinamo Zagreb,24,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,1
Dries Wouters,Genk,22,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ederson,Manchester City,25,GK,405,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinson Cavani,Paris Saint-Germain,32,"FW,MF",40,1,0.8,0.2,0,0,0,1,0,0,0,0,1,1
Eliaquim Mangala,Valencia,28,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elseid Hysaj,Napoli,25,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Mammana,Zenit St. Petersburg,23,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emin Bayram,Galatasaray,16,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emir Dilaver,Dinamo Zagreb,28,"DF,MF",540,0,0.1,-0.1,0,0,0,0,0,0,0,12,6,9
Erencan Yardimci,Galatasaray,17,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric García,Manchester City,18,DF,90,0,0,0,0,0,0,0,0,0,0,0,1,1
Eric Oelschlägel,Borussia Dortmund,23,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esquerdo,Valencia,20,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Ampadu,RasenBallsport Leipzig,18,MF,91,0,0,0,0,0,0,0,0,0,0,0,0,2
Ethan Horvath,Club Brugge,24,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezequiel Garay,Valencia,32,DF,363,0,0,0,0,0,0,0,0,0,0,4,4,6
Faouzi Ghoulam,Napoli,28,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico Dimarco,Inter,21,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico Ricca,Club Brugge,24,"DF,MF",270,0,0.1,-0.1,0,0.4,-0.4,0,0,0,0,3,4,1
Felipe,Atletico Madrid,30,DF,450,1,0.2,0.8,0,0,0,0,0,0,0,11,5,5
Florentino Luís,Benfica,19,MF,180,0,0,0,0,0,0,0,0,0,0,2,10,10
François Moubandje,Dinamo Zagreb,29,DF,90,0,0,0,0,0,0,0,0,0,0,1,2,1
Gaëtan Coucke,Genk,20,GK,450,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianluigi Buffon,Juventus,41,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0
Giorgos Xenitidis,Olympiacos,19,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gökay Güney,Galatasaray,20,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Arana,Atalanta,22,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Marinato,Lokomotiv Moscow,33,GK,450,0,0,0,0,0,0,0,0,0,0,1,0,0
Hugo Lloris,Tottenham,32,GK,180,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Traoré,Slavia Prague,30,MF,167,0,0,0,0,0,0,1,0,0,0,2,1,5
Ibrahima Konaté,RasenBallsport Leipzig,20,DF,113,0,0,0,0,0,0,0,0,0,0,2,2,1
Igor Smolnikov,Zenit St. Petersburg,30,"DF,MF",138,0,0,0,0,0,0,0,0,0,0,1,2,1
Ilya Vorobyov,Zenit St. Petersburg,20,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Işık Kaan Arslan,Galatasaray,18,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Šaponjić,Atletico Madrid,21,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Zlobin,Benfica,22,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivo Pinto,Dinamo Zagreb,29,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iyayi Atiemwen,Dinamo Zagreb,23,MF,6,0,0,0,0,0,0,0,0,0,0,0,0,1
Izet Hajrović,Dinamo Zagreb,27,MF,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Bruun Larsen,Borussia Dortmund,20,MF,19,0,0,0,0,0,0,1,0,0,0,0,0,0
Jakub Markovič,Slavia Prague,18,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Piotrowski,Genk,21,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Oblak,Atletico Madrid,26,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Vertonghen,Tottenham,32,DF,253,0,0,0,0,0,0,0,0,0,0,1,2,3
Japhet Tanganga,Tottenham,20,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jardel,Benfica,33,DF,164,0,0,0,0,0,0,0,0,0,0,3,1,2
Jasper Cillessen,Valencia,30,GK,450,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaume Costa,Valencia,31,DF,247,0,0.1,-0.1,0,0.1,-0.1,1,0,0,0,4,6,3
Jaume Doménech,Valencia,28,GK,90,0,0,0,0,0,0,0,0,0,0,1,0,0
Javi Martínez,Bayern Munich,30,"DF,MF",333,0,0.3,-0.3,0,0,0,0,0,0,0,5,4,2
Jean Lucas,Lyon,21,MF,3,0,0.4,-0.4,0,0,0,0,0,0,0,0,1,0
Jelle Vossen,Club Brugge,30,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jérôme Boateng,Bayern Munich,30,DF,283,0,0,0,0,0,0,1,0,0,0,5,2,0
Joachim Andersen,Lyon,23,DF,353,1,0.2,0.8,0,0,0,1,0,0,0,6,2,3
Joël Matip,Liverpool,27,"DF,MF",90,0,0,0,0,0,0,1,0,0,0,1,0,2
Joel Pohjanpalo,Bayer Leverkusen,24,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Veltman,Ajax,27,DF,427,0,0,0,0,0,0,2,0,0,0,11,7,3
John Stones,Manchester City,25,DF,49,0,0.2,-0.2,0,0,0,0,0,0,0,2,0,1
Jonas Hupe,Borussia Dortmund,19,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Tah,Bayer Leverkusen,23,DF,450,0,0,0,0,0.1,-0.1,0,0,0,0,7,4,2
Jorginho,Chelsea,27,MF,522,2,1.7,0.3,0,0.5,-0.5,2,0,0,0,11,7,15
José Callejón,Napoli,32,"FW,MF",429,1,1.6,-0.6,1,1.6,-0.6,2,0,0,0,2,3,5
José Fonte,Lille,35,DF,360,0,0,0,0,0.1,-0.1,0,0,0,0,3,2,1
José María Giménez,Atletico Madrid,24,DF,195,0,0.5,-0.5,1,0.6,0.4,0,0,0,0,0,0,3
Joshua Zirkzee,Bayern Munich,18,FW,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Jota,Benfica,20,FW,67,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurrien Timber,Ajax,18,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa Arrizabalaga,Chelsea,24,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,0
Kik Pierie,Ajax,19,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klaas-Jan Huntelaar,Ajax,35,FW,33,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0
Kostas Manolas,Napoli,28,DF,360,0,0.2,-0.2,0,0,0,0,0,0,0,5,0,2
Laco Takács,Slavia Prague,23,DF,89,0,0.2,-0.2,0,0,0,0,0,0,0,5,3,2
Lars Lukas Mai,Bayern Munich,19,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lassina Franck Traoré,Ajax,18,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Paredes,Paris Saint-Germain,25,MF,115,0,0,0,0,0,0,0,0,0,0,2,6,4
Lee Kangin,Valencia,18,MF,124,0,0.1,-0.1,0,0,0,0,0,0,0,0,2,1
Leon Musayev,Zenit St. Petersburg,20,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo César Jardim,Lille,24,GK,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljubomir Fejsa,Benfica,30,MF,150,0,0,0,0,0,0,0,0,0,0,4,3,0
Loïs Openda,Club Brugge,19,FW,137,0,0.4,-0.4,0,0,0,0,0,0,0,1,2,2
Luka Đorđević,Lokomotiv Moscow,25,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukáš Hrádecký,Bayer Leverkusen,29,GK,540,0,0,0,0,0,0,0,0,0,0,1,0,0
Lukáš Provod,Slavia Prague,22,MF,13,0,0,0,0,0,0,1,0,0,0,0,0,0
Łukasz Piszczek,Borussia Dortmund,34,"DF,MF",181,0,0,0,0,0.1,-0.1,0,0,0,0,5,6,4
Maarten Vandevoordt,Genk,17,GK,90,0,0,0,0,0,0,0,0,0,0,1,0,0
Mahmoud Dahoud,Borussia Dortmund,23,MF,28,0,0,0,0,0,0,1,0,0,0,1,1,1
Majeed Ashimeru,Salzburg,21,MF,63,0,0,0,0,0,0,0,0,0,0,0,2,2
Manolo Portanova,Juventus,19,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Guéhi,Chelsea,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc-André ter Stegen,Barcelona,27,GK,450,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcel Schmelzer,Borussia Dortmund,31,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelo,Lyon,32,DF,363,0,0.2,-0.2,0,0,0,0,0,0,0,2,1,1
Marco Sportiello,Atalanta,27,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Llorente,Atletico Madrid,24,MF,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Marin Leovac,Dinamo Zagreb,30,DF,450,1,0.8,0.2,1,0.4,0.6,2,0,0,0,7,7,11
Marin Pongračić,Salzburg,21,DF,45,0,0,0,0,0,0,0,0,0,0,1,1,0
Mario Götze,Borussia Dortmund,27,MF,69,0,0.3,-0.3,1,0.5,0.5,0,0,0,0,0,1,0
Mário Rui,Napoli,28,"DF,MF",348,0,0,0,0,0.3,-0.3,2,0,0,0,8,6,5
Mario Šitum,Dinamo Zagreb,27,"FW,MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Gjira,Dinamo Zagreb,20,DF,59,0,0,0,0,0,0,0,0,0,0,1,0,0
Marquinhos Cipriano,Shakhtar Donetsk,20,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marwin Hitz,Borussia Dortmund,31,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masaya Okugawa,Salzburg,23,FW,72,0,0.1,-0.1,0,0,0,1,0,0,0,0,2,5
Matej Mitrović,Club Brugge,25,DF,90,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0
Mathis Cherki,Lyon,15,MF,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Matías Kranevitter,Zenit St. Petersburg,26,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthijs de Ligt,Juventus,19,DF,360,0,0.2,-0.2,0,0,0,0,0,0,0,1,2,0
Mauro Icardi,Paris Saint-Germain,26,FW,401,5,4.1,0.9,0,0.1,-0.1,1,0,0,0,0,1,1
Maxence Caqueret,Lyon,19,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michal Frydrych,Slavia Prague,29,DF,174,0,0.1,-0.1,0,0,0,0,0,0,0,5,1,6
Michel Vorm,Tottenham,35,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mickaël Cuisance,Bayern Munich,19,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Maignan,Lille,23,GK,522,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikhail Kerzhakov,Zenit St. Petersburg,32,GK,360,0,0,0,0,0,0,0,0,0,0,0,0,0
Milan Borjan,FK Crvena Zvezda,31,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,0
Milan Pavkov,FK Crvena Zvezda,25,FW,188,0,0.4,-0.4,0,0,0,2,0,0,0,0,0,0
Mouctar Diakhaby,Valencia,22,DF,173,0,0,0,0,0.1,-0.1,0,0,0,0,3,2,0
Murilo Cerqueira,Lokomotiv Moscow,22,DF,369,0,0,0,0,0,0,0,0,0,0,15,7,16
Neto,Barcelona,30,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,1
Neto Borges,Genk,22,DF,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolás Otamendi,Manchester City,31,DF,465,0,0.3,-0.3,0,0,0,0,0,0,0,5,11,5
Nikita Medvedev,Lokomotiv Moscow,24,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niklas Lomb,Bayer Leverkusen,26,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niklas Süle,Bayern Munich,23,DF,180,0,0,0,0,0,0,0,0,0,0,2,2,0
Nuno Tavares,Benfica,19,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisseas Vlachodimos,Benfica,25,GK,540,0,0,0,0,0,0,0,0,0,0,2,0,1
Okan Kocuk,Galatasaray,24,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,Manchester City,22,MF,114,0,0,0,0,0,0,0,0,0,0,3,2,3
Oleksiy Shevchenko,Shakhtar Donetsk,27,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondřej Kúdela,Slavia Prague,32,"DF,MF",540,0,0.5,-0.5,0,0,0,2,0,0,0,7,1,5
Pablo Gozalbez,Valencia,18,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Farkas,Salzburg,26,MF,6,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,2
Patrik Schick,RasenBallsport Leipzig,23,FW,20,0,0.5,-0.5,0,0,0,0,0,0,0,0,0,0
Paulo Gazzaniga,Tottenham,27,GK,360,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro,Chelsea,32,"FW,MF",79,0,0.1,-0.1,0,0,0,2,0,0,0,0,1,0
Péter Gulácsi,RasenBallsport Leipzig,29,GK,514,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0
Philipp Köhn,Salzburg,21,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierluigi Gollini,Atalanta,24,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,1
Přemysl Kovář,Slavia Prague,33,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radovan Pankov,FK Crvena Zvezda,23,DF,21,0,0,0,0,0,0,0,0,0,0,1,1,1
Rafael Tolói,Atalanta,28,DF,450,0,0.2,-0.2,0,0.1,-0.1,0,0,0,0,7,8,15
Ramazan Özcan,Bayer Leverkusen,35,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl de Tomás,Benfica,24,FW,119,1,0.4,0.6,0,0.1,-0.1,0,0,0,0,0,0,0
Răzvan Marin,Ajax,23,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,Liverpool,19,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Róbert Mak,Zenit St. Petersburg,28,"FW,MF",8,0,0.2,-0.2,0,0,0,1,0,0,0,0,0,0
Roman Bürki,Borussia Dortmund,28,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Tugarev,Lokomotiv Moscow,21,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Araújo,Barcelona,20,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubén Sobrino,Valencia,27,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Sessegnon,Tottenham,19,DF,105,1,0.3,0.7,1,0.4,0.6,2,0,0,0,0,1,1
Sami Khedira,Juventus,32,MF,265,0,0,0,0,0.4,-0.4,0,0,0,0,3,5,4
Samuel Umtiti,Barcelona,25,DF,180,0,0,0,0,0.1,-0.1,0,0,0,0,4,1,2
Sarpreet Singh,Bayern Munich,20,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Carson,Manchester City,33,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastiano Esposito,Inter,17,FW,51,0,0,0,0,0.1,-0.1,1,0,0,0,0,0,0
Sekou Koita,Salzburg,19,FW,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Şener Özbayraklı,Galatasaray,29,DF,18,0,0,0,0,0,0,0,0,0,0,0,0,2
Sergi Roberto,Barcelona,27,MF,275,0,0.5,-0.5,0,0.2,-0.2,2,0,0,0,3,2,1
Sergio Rico,Paris Saint-Germain,25,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0
Serhiy Kryvtsov,Shakhtar Donetsk,28,DF,540,0,0,0,0,0.3,-0.3,0,0,0,0,4,3,1
Siem de Jong,Ajax,30,"FW,MF",9,0,0,0,0,0,0,0,0,0,0,0,1,1
Simon Kjær,Atalanta,30,DF,90,0,0,0,0,0,0,0,0,0,0,1,2,4
Simon Mignolet,Club Brugge,31,GK,540,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone Muratore,Juventus,21,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smail Prevljak,Salzburg,24,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Kvirkvelia,Lokomotiv Moscow,27,DF,90,0,0,0,0,0,0,0,0,0,0,2,0,1
Srđan Babić,FK Crvena Zvezda,23,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanislav Magkeev,Lokomotiv Moscow,20,DF,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Savić,Atletico Madrid,28,"DF,MF",90,1,0.6,0.4,0,0,0,0,0,0,0,2,0,2
Stephen Odey,Genk,21,FW,9,1,0.2,0.8,0,0,0,0,0,0,0,0,0,0
Sven Bender,Bayer Leverkusen,30,MF,540,1,0.2,0.8,0,0,0,1,0,0,0,18,8,8
Sven Ulreich,Bayern Munich,30,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Harwood-Bellis,Manchester City,17,DF,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Maia,Lille,22,MF,66,0,0,0,0,0,0,0,0,0,0,1,2,3
Thiago Silva,Paris Saint-Germain,34,DF,450,0,0.1,-0.1,0,0,0,0,0,0,0,5,3,1
Thibault Vlietinck,Club Brugge,21,MF,70,0,0,0,0,0.1,-0.1,0,0,0,0,1,1,1
Thibaut Courtois,Real Madrid,27,GK,405,0,0,0,0,0,0,0,0,0,0,1,0,0
Thierry Correia,Valencia,20,DF,20,0,0,0,0,0,0,0,0,0,0,1,1,0
Thilo Kehrer,Paris Saint-Germain,22,DF,15,0,0,0,0,0,0,0,0,0,0,1,0,0
Thomas Doyle,Manchester City,17,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toby Alderweireld,Tottenham,30,DF,360,0,0,0,0,0.1,-0.1,0,0,0,0,4,1,1
Tom Krauß,RasenBallsport Leipzig,18,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomané,FK Crvena Zvezda,26,FW,210,0,0.8,-0.8,0,0.1,-0.1,1,0,0,0,0,0,2
Tomáš Holeš,Slavia Prague,26,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Parrott,Tottenham,17,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valerii Bondar,Shakhtar Donetsk,20,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vedran Ćorluka,Lokomotiv Moscow,33,DF,519,0,0.1,-0.1,0,0,0,0,0,0,0,13,6,4
Veljko Simić,FK Crvena Zvezda,24,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Wanyama,Tottenham,28,MF,9,0,0,0,0,0,0,0,0,0,0,1,0,1
Willy Caballero,Chelsea,37,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wojciech Szczęsny,Juventus,29,GK,450,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,Liverpool,27,MF,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunus Akgün,Galatasaray,19,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuri Zhirkov,Zenit St. Petersburg,35,"DF,MF",73,0,0.1,-0.1,1,0.1,0.9,2,0,0,0,0,2,1
Yvon Mvogo,RasenBallsport Leipzig,25,GK,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Zakaria Labyad,Ajax,26,MF,45,0,0,0,0,0,0,0,0,0,0,0,1,0
Zoran Popović,FK Crvena Zvezda,31,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0